"metric","variable","9M_edf","9M_p_value","9M_sig_level","14M_edf","14M_p_value","14M_sig_level","37M_edf","37M_p_value","37M_sig_level"
"dolphin_echolocation","KURTf",3.23198788248304e-05,0.815762773534174,"",1.77274842183596e-05,0.898032363797683,"",9.4344308117022e-05,0.826871419319627,""
"dolphin_echolocation","KURTt",0.463415234653006,0.162720432805816,"",8.71943155860998e-05,0.000101356740260128,"***",0.000303045679589997,0.359340783804473,""
"dolphin_echolocation","LEQf",4.37545437724621e-05,0.766393111576737,"",2.69015755978071e-05,0.646074003883608,"",8.92092190567356e-05,0.887897732614063,""
"dolphin_echolocation","LEQt",4.26780764350061e-05,0.841524368262807,"",5.30835423290926e-05,0.264046607866197,"",0.627668374896482,0.086980579613523,"."
"dolphin_echolocation","LFC",0.000124494864880097,0.337375676201322,"",0.670749959851474,0.0755553029125886,".",0.000186254877903803,0.532686546037765,""
"dolphin_echolocation","MEANf",4.78722960396303e-05,0.672759024381109,"",0.747480064800076,0.0366859057048836,"*",0.96161098205176,0,"***"
"dolphin_echolocation","MEANt",4.52510145306742e-05,0.6437025242842,"",2.19928991978908e-05,0.990375677109692,"",0.127943236668107,0.280392736062393,""
"dolphin_echolocation","MED",3.64211467158723e-05,0.960057011896681,"",1.7171265432907e-05,0.971658840515116,"",0.000104052421190588,0.694415571409002,""
"dolphin_echolocation","MFC",3.08316999943597e-05,0.776273855968725,"",0.846299777125486,0.00562575161774581,"**",0.255565264198347,0.233645308127534,""
"dolphin_echolocation","NBPEAKS",0.804697322620271,0.0223198418099186,"*",0.253354257827405,0.238293777669019,"",0.802929403586693,0.0210346155231627,"*"
"dolphin_echolocation","NDSI",4.3715852366308e-05,0.614230116856538,"",5.53707406533179e-05,0.430416534884165,"",0.0002099510825813,0.293345280343352,""
"dolphin_echolocation","RAOQ",5.62230635434988e-05,0.67995925235347,"",1.619155971363e-05,0.999817126072741,"",0.000133835405528299,0.547092008167893,""
"dolphin_echolocation","ROU",2.38040539830045e-05,0.894317480028909,"",2.87195083886276e-05,0.709903583513423,"",0.000160807548137593,0.480358614949363,""
"dolphin_echolocation","SKEWf",4.91687205550819e-05,0.79549255865072,"",2.54938121765626e-05,0.987221696833703,"",0.000109304268307509,0.776865886158741,""
"dolphin_echolocation","SKEWt",3.38818156495289e-05,0.764773710925001,"",2.89058836988943e-05,0.709766494286245,"",0.000123458486718322,0.685490206613907,""
"dolphin_echolocation","SNRf",3.97460142657022e-05,0.582819904320957,"",3.02840415403423e-05,0.926654839322955,"",0.862047094888213,0.00250064844639408,"**"
"dolphin_echolocation","SNRt",0.000110036254303852,0.413768971239727,"",1.39631039722642e-05,0.99847862042112,"",0.000213398479978052,0.42731439925044,""
"dolphin_echolocation","TFSD",1.7011015172024,0,"***",0.930812552602828,5.25611944228732e-05,"***",0.160603864493174,0.265023503075948,""
"dolphin_echolocation","VARf",3.85826957687542e-05,0.880324173496208,"",2.06330433497081e-05,0.910208725517453,"",0.000133599496622875,0.640815847530666,""
